GEO.id,RACE.white,RACE.black,RACE.native,RACE.asian,RACE.pacific,RACE.other,RACE.two
8600000US00601,17259,192,5,0,0,1021,67
8600000US00602,31207,1771,27,65,0,1400,7170
8600000US00603,46088,1783,11,290,0,1161,5207
8600000US00606,6353,85,0,0,0,140,15
8600000US00610,25566,848,0,15,0,741,1971
8600000US00612,57685,2786,198,814,0,5131,2403
8600000US00616,9832,272,0,0,0,439,207
8600000US00617,23735,332,44,0,0,240,382
8600000US00622,5657,116,0,0,0,126,24
8600000US00623,42859,1322,0,12,0,339,411
8600000US00624,22262,636,140,1,0,2551,426
8600000US00627,33391,522,0,53,0,491,628
8600000US00631,1587,0,0,0,0,213,0
8600000US00637,23632,565,125,0,0,576,414
8600000US00638,17863,174,0,2,0,787,171
8600000US00641,27470,716,12,21,0,2223,329
8600000US00646,27196,5297,21,47,0,829,4789
8600000US00647,5573,160,8,0,0,91,37
8600000US00650,14675,101,0,1,0,342,1
8600000US00652,3019,88,0,17,0,118,2
8600000US00653,12328,469,35,0,0,508,162
8600000US00656,19130,855,78,0,0,1160,215
8600000US00659,39672,432,0,152,0,749,940
8600000US00660,10505,569,0,95,0,616,5432
8600000US00662,29804,2807,272,20,0,9292,1403
8600000US00664,13307,508,153,72,0,1040,1585
8600000US00667,24619,662,8,0,0,217,596
8600000US00669,27631,185,0,44,0,1343,366
8600000US00670,9454,197,25,0,0,106,32
8600000US00674,38894,1495,28,19,0,3423,506
8600000US00676,37103,652,0,0,24,809,1557
8600000US00677,10759,1058,24,0,0,220,3136
8600000US00678,21045,980,96,34,0,4704,560
8600000US00680,36472,1730,47,46,0,9597,9328
8600000US00682,17253,1584,0,49,0,8048,5965
8600000US00683,31852,795,50,0,0,528,356
8600000US00685,40280,379,15,79,0,1148,651
8600000US00687,26938,671,0,0,0,607,4401
8600000US00688,11940,310,19,23,0,593,151
8600000US00690,4710,241,0,2,0,192,1029
8600000US00692,29647,3231,13,2,0,1007,3715
8600000US00693,56421,1807,209,52,0,1435,949
8600000US00694,140,0,0,0,0,12,0
8600000US00698,38430,919,146,62,0,991,1240
8600000US00703,23529,842,0,1,0,410,4393
8600000US00704,4226,496,0,0,0,1914,1314
8600000US00705,20297,1778,18,0,0,3244,238
8600000US00707,5391,2637,41,0,0,624,3508
8600000US00714,10015,4047,0,0,0,1696,3784
8600000US00715,2156,638,0,0,0,383,1093
8600000US00716,21305,2053,0,50,0,1979,7453
8600000US00717,12106,1283,9,23,0,1519,3675
8600000US00718,19276,1294,11,168,0,4572,1283
8600000US00719,12748,721,0,13,0,555,16955
8600000US00720,17347,622,0,49,0,1812,3429
8600000US00723,11339,2606,135,0,0,1967,3178
8600000US00725,68293,6366,63,207,0,8380,7726
8600000US00727,45511,2922,35,18,0,4156,4037
8600000US00728,35212,1576,75,9,0,4717,1671
8600000US00729,27471,8189,82,362,0,18383,427
8600000US00730,26625,2315,24,23,0,2881,7256
8600000US00731,11211,397,31,0,0,1325,905
8600000US00735,9216,709,0,147,0,3025,706
8600000US00736,38425,1868,22,222,0,10628,524
8600000US00738,20673,3463,98,162,0,9673,1058
8600000US00739,28756,1057,57,135,0,8486,680
8600000US00740,907,124,0,0,0,655,44
8600000US00741,2855,565,85,0,0,1276,408
8600000US00745,29009,7441,83,104,0,16662,1685
8600000US00751,12875,1351,16,0,0,5194,3767
8600000US00754,31156,1672,0,84,0,769,6950
8600000US00757,13169,1272,0,0,0,6412,2408
8600000US00765,4739,1135,55,18,0,2412,877
8600000US00766,19008,508,52,0,0,4354,2393
8600000US00767,24513,2490,35,93,0,2882,7850
8600000US00769,27826,1897,0,0,0,9822,543
8600000US00771,23180,2208,183,114,0,2774,9772
8600000US00772,3601,8715,59,105,0,9142,261
8600000US00773,10595,1932,63,157,0,6619,684
8600000US00775,974,112,0,0,0,256,193
8600000US00777,35900,1715,0,0,15,2446,869
8600000US00778,26530,4361,21,110,0,4242,10300
8600000US00780,8888,431,0,0,0,1264,2757
8600000US00782,12326,456,8,1,0,341,5857
8600000US00783,15335,220,8,0,0,404,20789
8600000US00784,28646,5186,297,0,0,5987,4666
8600000US00786,370,0,0,0,0,16,0
8600000US00791,32650,3079,103,196,0,9725,7351
8600000US00794,11453,751,30,4,0,1168,17268
