GEO.id,GEO.display-label,NAICS.id,NAICS.display-label,REVENUE (k),YEAR.id,ESTAB,RACE.white,RACE.black,RACE.native,RACE.asian,RACE.pacific,RACE.other,RACE.two,INCOME.aggregate
8610000US06001,"ZIP 06001 (Avon, CT)",44-45,Retail trade,54500,2012,81,17259,192,5,0,0,1021,67,117257100.0
8610000US06001,"ZIP 06001 (Avon, CT)",441,Motor vehicle and parts dealers,2000,2012,2,31207,1771,27,65,0,1400,7170,314572300.0
8610000US06001,"ZIP 06001 (Avon, CT)",4411,Automobile dealers,1000,2012,1,46088,1783,11,290,0,1161,5207,429688500.0
8610000US06001,"ZIP 06001 (Avon, CT)",44111,New car dealers,1000,2012,1,6353,85,0,0,0,140,15,28763400.0
8610000US06001,"ZIP 06001 (Avon, CT)",441110,New car dealers,1000,2012,1,25566,848,0,15,0,741,1971,202258800.0
8610000US06001,"ZIP 06001 (Avon, CT)",4413,"Automotive parts, accessories, and tire stores",1000,2012,1,57685,2786,198,814,0,5131,2403,647450800.0
8610000US06001,"ZIP 06001 (Avon, CT)",44132,Tire dealers,1000,2012,1,9832,272,0,0,0,439,207,83805300.0
8610000US06001,"ZIP 06001 (Avon, CT)",441320,Tire dealers,1000,2012,1,23735,332,44,0,0,240,382,187231400.0
8610000US06001,"ZIP 06001 (Avon, CT)",442,Furniture and home furnishings stores,6750,2012,10,5657,116,0,0,0,126,24,39306900.0
8610000US06001,"ZIP 06001 (Avon, CT)",4421,Furniture stores,1750,2012,2,42859,1322,0,12,0,339,411,353805000.0
8610000US06001,"ZIP 06001 (Avon, CT)",44211,Furniture stores,1750,2012,2,22262,636,140,1,0,2551,426,170027300.0
8610000US06001,"ZIP 06001 (Avon, CT)",442110,Furniture stores,1750,2012,2,33391,522,0,53,0,491,628,266081900.0
8610000US06001,"ZIP 06001 (Avon, CT)",4422,Home furnishings stores,5000,2012,8,1587,0,0,0,0,213,0,9523300.0
8610000US06001,"ZIP 06001 (Avon, CT)",44221,Floor covering stores,1500,2012,2,23632,565,125,0,0,576,414,169045800.0
8610000US06001,"ZIP 06001 (Avon, CT)",442210,Floor covering stores,1500,2012,2,17863,174,0,2,0,787,171,103906200.0
8610000US06001,"ZIP 06001 (Avon, CT)",44229,Other home furnishings stores,3500,2012,6,27470,716,12,21,0,2223,329,201877100.0
8610000US06001,"ZIP 06001 (Avon, CT)",442291,Window treatment stores,2000,2012,2,27196,5297,21,47,0,829,4789,527707100.0
8610000US06001,"ZIP 06001 (Avon, CT)",442299,All other home furnishings stores,1500,2012,4,5573,160,8,0,0,91,37,35928800.0
8610000US06001,"ZIP 06001 (Avon, CT)",443,Electronics and appliance stores,2500,2012,3,14675,101,0,1,0,342,1,94417200.0
8610000US06001,"ZIP 06001 (Avon, CT)",4431,Electronics and appliance stores,2500,2012,3,3019,88,0,17,0,118,2,24225700.0
8610000US06001,"ZIP 06001 (Avon, CT)",44314,Electronics and appliance stores,2500,2012,3,12328,469,35,0,0,508,162,79041600.0
8610000US06001,"ZIP 06001 (Avon, CT)",443141,Household appliance stores,750,2012,1,19130,855,78,0,0,1160,215,137195200.0
8610000US06001,"ZIP 06001 (Avon, CT)",443142,Electronics stores,1750,2012,2,39672,432,0,152,0,749,940,333691800.0
8610000US06001,"ZIP 06001 (Avon, CT)",444,Building material and garden equipment and supplies dealers,4500,2012,5,10505,569,0,95,0,616,5432,166472400.0
8610000US06001,"ZIP 06001 (Avon, CT)",4441,Building material and supplies dealers,4500,2012,5,29804,2807,272,20,0,9292,1403,306003500.0
8610000US06001,"ZIP 06001 (Avon, CT)",44412,Paint and wallpaper stores,2000,2012,2,13307,508,153,72,0,1040,1585,111657600.0
8610000US06001,"ZIP 06001 (Avon, CT)",444120,Paint and wallpaper stores,2000,2012,2,24619,662,8,0,0,217,596,152984000.0
8610000US06001,"ZIP 06001 (Avon, CT)",44413,Hardware stores,750,2012,1,27631,185,0,44,0,1343,366,175751000.0
8610000US06001,"ZIP 06001 (Avon, CT)",444130,Hardware stores,750,2012,1,9454,197,25,0,0,106,32,60474300.0
8610000US06001,"ZIP 06001 (Avon, CT)",44419,Other building material dealers,1750,2012,2,38894,1495,28,19,0,3423,506,386659900.0
8610000US06001,"ZIP 06001 (Avon, CT)",444190,Other building material dealers,1750,2012,2,37103,652,0,0,24,809,1557,242314000.0
8610000US06001,"ZIP 06001 (Avon, CT)",445,Food and beverage stores,8000,2012,11,10759,1058,24,0,0,220,3136,127904300.0
8610000US06001,"ZIP 06001 (Avon, CT)",4451,Grocery stores,2750,2012,3,21045,980,96,34,0,4704,560,180269700.0
8610000US06001,"ZIP 06001 (Avon, CT)",44511,Supermarkets and other grocery (except convenience) stores,2750,2012,3,36472,1730,47,46,0,9597,9328,446164200.0
8610000US06001,"ZIP 06001 (Avon, CT)",445110,Supermarkets and other grocery (except convenience) stores,2750,2012,3,17253,1584,0,49,0,8048,5965,338194600.0
8610000US06001,"ZIP 06001 (Avon, CT)",4452,Specialty food stores,3250,2012,5,31852,795,50,0,0,528,356,266966500.0
8610000US06001,"ZIP 06001 (Avon, CT)",44521,Meat markets,1000,2012,1,40280,379,15,79,0,1148,651,228431800.0
8610000US06001,"ZIP 06001 (Avon, CT)",445210,Meat markets,1000,2012,1,26938,671,0,0,0,607,4401,194889100.0
8610000US06001,"ZIP 06001 (Avon, CT)",44522,Fish and seafood markets,750,2012,1,11940,310,19,23,0,593,151,74977400.0
